
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v4.0.6)

2026-06-16T15:29:58.674+02:00 INFO  [main] requestId= c.k.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 26.0.1 with PID 9064 (C:\Users\thand\Downloads\backend\backend\target\backend-0.0.1-SNAPSHOT.jar started by thand in C:\Users\thand\Downloads\backend\backend)
2026-06-16T15:29:59.567+02:00 INFO  [main] requestId= c.k.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-16T15:30:36.180+02:00 INFO  [main] requestId= o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-16T15:30:37.553+02:00 INFO  [main] requestId= o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1191 ms. Found 13 JPA repository interfaces.
2026-06-16T15:31:02.602+02:00 INFO  [main] requestId= o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 18080 (http)
2026-06-16T15:31:02.722+02:00 INFO  [main] requestId= o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-16T15:31:02.728+02:00 INFO  [main] requestId= o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-16T15:31:03.394+02:00 INFO  [main] requestId= o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 62977 ms
2026-06-16T15:31:14.307+02:00 INFO  [main] requestId= com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-16T15:31:16.522+02:00 INFO  [main] requestId= com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:king_sparkon_smoke user=SA
2026-06-16T15:31:16.531+02:00 INFO  [main] requestId= com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-16T15:31:16.994+02:00 INFO  [main] requestId= org.flywaydb.core.FlywayExecutor - Database: jdbc:h2:mem:king_sparkon_smoke (H2 2.4)
2026-06-16T15:31:17.180+02:00 WARN  [main] requestId= o.f.c.i.database.base.Database - Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2026-06-16T15:31:17.803+02:00 INFO  [main] requestId= o.f.c.i.s.JdbcTableSchemaHistory - Schema history table "PUBLIC"."flyway_schema_history" does not exist yet
2026-06-16T15:31:17.825+02:00 INFO  [main] requestId= o.f.core.internal.command.DbValidate - Successfully validated 16 migrations (execution time 00:00.402s)
2026-06-16T15:31:17.859+02:00 INFO  [main] requestId= o.f.c.i.s.JdbcTableSchemaHistory - Creating Schema History table "PUBLIC"."flyway_schema_history" ...
2026-06-16T15:31:18.244+02:00 INFO  [main] requestId= o.f.core.internal.command.DbMigrate - Current version of schema "PUBLIC": << Empty Schema >>
